支付者UIN,使用者UIN,操作者UIN,产品名称,子产品名称,计费模式,交易类型,开始使用时间,结束使用时间,资源ID,实例名称,实例类型,配置描述,项目名称,地域,可用区,原价(元),预留实例抵扣原价(元),节省计划抵扣原价(元),折扣率,优惠后总价(元),优惠券支付(元),赠送金支付(元),分成金支付(元),现金支付(元),扩展字段1,扩展字段2,扩展字段3,扩展字段4,扩展字段5,产品编码,子产品编码,标签键:product
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-03-14 14:51:11","2024-03-14 15:03:02","aabewg","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.09000000","0.00000000","0.00000000","0.74475000","0.06702750","0.00000000","0.00000000","0.00000000","0.06702750","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-03-13 09:52:16","2024-03-13 12:15:31","aacmxb","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.76500000","0.00000000","0.00000000","0.74475000","0.56973375","0.00000000","0.00000000","0.00000000","0.56973375","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-03-13 12:00:00","2024-03-13 12:00:11","aacmxb","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.00000000","0.00000000","0.00000000","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-03-06 18:36:14","2024-03-06 20:06:14","aahbey","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.79200000","0.00000000","0.00000000","0.74475000","0.58984200","0.00000000","0.00000000","0.00000000","0.58984200","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-03-06 20:06:14","2024-03-06 20:07:04","aahbey","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.00000000","0.00000000","0.00000000","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-03-10 16:56:46","2024-03-10 22:06:02","aajeki","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","1.94400000","0.00000000","0.00000000","0.74475000","1.44779400","0.00000000","0.00000000","0.00000000","1.44779400","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-03-07 18:59:36","2024-03-07 18:59:59","aanhse","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.00000000","0.00000000","0.00000000","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-03-07 18:29:36","2024-03-07 19:08:06","aanhse","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.34200000","0.00000000","0.00000000","0.74475000","0.25470450","0.00000000","0.00000000","0.00000000","0.25470450","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-03-10 14:35:46","2024-03-10 15:42:06","aarmcp","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.58500000","0.00000000","0.00000000","0.74475000","0.43567875","0.00000000","0.00000000","0.00000000","0.43567875","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-03-01 14:22:56","2024-03-02 18:35:20","abdmam","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","6.10000000","0.00000000","0.00000000","0.74475000","4.54297500","0.00000000","0.00000000","0.00000000","4.54297500","","","","","","p_012054","sp_012054_standard","-"
